MenuName,Section,ItemName,ItemCode,Description,ServingSize,MinOrder,Unit,BasePrice,PriceCurrency,PriceModel,Taxable,LeadTimeHours,DietaryTags,Allergens,HeatLevel,IncludedWith,UtensilsIncluded,SetupAvailable,SetupFee,DepositRequired,ImageURL,SortOrder,OptionGroup1Name,OptionGroup1Min,OptionGroup1Max,OptionGroup1Choices,OptionGroup1Pricing,OptionGroup2Name,OptionGroup2Min,OptionGroup2Max,OptionGroup2Choices,OptionGroup2Pricing,Notes,AvailabilityDays,UnavailableDates
"Spring Catering 2026","Sandwich Platters","Executive Sandwich Platter","PLTR-SAND-EXEC","Assorted premium sandwiches: turkey & brie, roast beef, veggie hummus. Includes chips + pickles.","Serves 10",1,"platter",109.99,"USD","per_platter",true,24,"contains gluten; contains dairy; can be vegetarian","gluten; dairy",0,NULL,true,true,25.00,false,NULL,10,"Bread Choice",1,1,"White|Wheat|Gluten-Free (+$10)","White:0|Wheat:0|Gluten-Free:10","Side Included",1,2,"Kettle Chips|Garden Salad (+$8)|Fruit Cup (+$6)","Kettle Chips:0|Garden Salad:8|Fruit Cup:6","Operator note: Gluten-free bread is limited; call if >3 GF sandwiches.","Mon,Tue,Wed,Thu,Fri",NULL
"Spring Catering 2026","Sandwich Platters","Classic Sandwich Platter","PLTR-SAND-CLASS","Assorted classic sandwiches: ham & swiss, turkey, tuna salad, veggie. Includes chips.","Serves 10",1,"platter",89.99,"USD","per_platter",true,24,"contains gluten; can be vegetarian","gluten; fish; dairy",0,NULL,true,true,25.00,false,NULL,20,"Bread Choice",1,1,"White|Wheat","White:0|Wheat:0","Upgrade",0,1,"Add Soup (Seasonal) (+$25)|Add Cookie Tray (+$18)","Add Soup (Seasonal):25|Add Cookie Tray:18","Some items may be substituted based on availability.","Mon,Tue,Wed,Thu,Fri",NULL
"Spring Catering 2026","Hot Entrees","Chicken Alfredo (Full Pan)","ENT-ALF-CKN-FP","Creamy alfredo sauce over penne with grilled chicken. Includes garlic bread.","Serves 18-22",1,"full_pan",149.00,"USD","per_item",true,48,"contains dairy; contains gluten","gluten; dairy",0,NULL,false,true,35.00,true,NULL,30,"Pasta Type",1,1,"Penne|Fettuccine","Penne:0|Fettuccine:0","Add Veg",0,2,"Broccoli (+$12)|Spinach (+$10)|Mushrooms (+$10)","Broccoli:12|Spinach:10|Mushrooms:10","Reheat instructions included on label.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Hot Entrees","Vegetarian Lasagna (Half Pan)","ENT-LAS-VG-HP","Layers of pasta, marinara, ricotta, mozzarella, spinach, zucchini.","Serves 10-12",1,"half_pan",95.00,"USD","per_item",true,48,"vegetarian; contains dairy; contains gluten","gluten; dairy",0,NULL,false,true,35.00,true,NULL,40,"Add Protein",0,1,"Add Italian Sausage (+$18)|Add Chicken (+$20)","Add Italian Sausage:18|Add Chicken:20","Side Salad",0,1,"Caesar (+$18)|House (+$16)","Caesar:18|House:16","Can be made no-zucchini by request (note in special instructions).","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Hot Entrees","Smoked BBQ Pulled Pork","ENT-BBQ-PORK","House-smoked pulled pork with BBQ sauce on the side. Includes buns + pickles.","Serves 15",1,"tray",129.00,"USD","per_item",true,48,"contains gluten (buns)","gluten",1,NULL,true,true,35.00,true,NULL,50,"Sauce Choice",1,2,"Classic BBQ|Carolina Vinegar|No Sauce","Classic BBQ:0|Carolina Vinegar:0|No Sauce:0","Buns",1,1,"Standard Buns|Gluten-Free Buns (+$12)","Standard Buns:0|Gluten-Free Buns:12","BBQ sauce served separately by default.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Taco Bar","Build-Your-Own Taco Bar","BAR-TACO","Includes tortillas, proteins, toppings, salsa, and chips.","Serves 20",1,"bar_package",279.00,"USD","per_package",true,72,"can be gluten-free; can be vegetarian","dairy (optional)",1,NULL,true,true,50.00,true,NULL,60,"Protein (Choose 2)",2,2,"Chicken Tinga|Steak Carne Asada (+$20)|Seasoned Black Beans|Pulled Pork","Chicken Tinga:0|Steak Carne Asada:20|Seasoned Black Beans:0|Pulled Pork:0","Tortillas",1,2,"Flour|Corn|Both (+$8)","Flour:0|Corn:0|Both:8","If you need no cilantro please specify.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Salads","Kale Caesar Salad","SAL-KALE-CAES","Kale, romaine, parmesan, croutons, house caesar.","Serves 10",1,"bowl",49.00,"USD","per_item",true,24,"contains dairy; contains gluten","gluten; dairy; fish (anchovy)",0,NULL,false,true,25.00,false,NULL,70,"Add Protein",0,2,"Grilled Chicken (+$15)|Shrimp (+$20)|Salmon (+$25)","Grilled Chicken:15|Shrimp:20|Salmon:25","Dressing",1,1,"On Side|Tossed","On Side:0|Tossed:0","Croutons can be served on the side.","Mon,Tue,Wed,Thu,Fri",NULL
"Spring Catering 2026","Salads","Seasonal Fruit Bowl","SAL-FRUIT","Cut seasonal fruit. Selection varies.","Serves 10",1,"bowl",42.00,"USD","per_item",false,24,"vegan; gluten-free","none",0,NULL,false,true,25.00,false,NULL,80,"Add Dip",0,1,"Honey-Yogurt Dip (+$8)|No Dip","Honey-Yogurt Dip:8|No Dip:0",NULL,0,0,NULL,NULL,"Fruit depends on supplier; may include melon, berries, pineapple.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Sides","Mac & Cheese","SIDE-MAC","Creamy baked mac & cheese.","Serves 10",1,"pan",55.00,"USD","per_item",true,24,"vegetarian; contains dairy; contains gluten","gluten; dairy",0,NULL,false,true,25.00,false,NULL,90,"Topping",0,2,"Bacon Crumble (+$8)|Breadcrumbs|Jalapeños (+$3)","Bacon Crumble:8|Breadcrumbs:0|Jalapeños:3",NULL,0,0,NULL,NULL,"Popular add-on for BBQ and taco orders.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Sides","Roasted Vegetables (VG)","SIDE-ROAST-VG","Seasonal roasted vegetables with olive oil + herbs.","Serves 10",1,"pan",48.00,"USD","per_item",false,24,"vegan; gluten-free","none",0,NULL,false,true,25.00,false,NULL,100,"Spice Level",1,1,"Mild|Medium|Spicy","Mild:0|Medium:0|Spicy:0",NULL,0,0,NULL,NULL,"May contain seasonal items (carrots, broccoli, cauliflower, etc.).","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Breakfast","Bagel Box","BRKF-BAGEL","Assorted bagels + cream cheese + jam.","Serves 12",1,"box",39.00,"USD","per_item",true,18,"vegetarian; contains gluten; contains dairy","gluten; dairy",0,"Coffee Service",true,false,0.00,false,NULL,110,"Cream Cheese",1,2,"Plain|Scallion|Veggie|Vegan Spread (+$6)","Plain:0|Scallion:0|Veggie:0|Vegan Spread:6","Bagel Mix",1,1,"Classic Mix|Everything-Heavy|Sesame-Heavy","Classic Mix:0|Everything-Heavy:0|Sesame-Heavy:0","If you need GF bagels, order 'GF Breakfast Pack' (separate item).","Mon,Tue,Wed,Thu,Fri",NULL
"Spring Catering 2026","Breakfast","Greek Yogurt Parfait Cups","BRKF-PARFAIT","Individual cups with yogurt, berries, granola (granola packed separately).","1 cup",12,"each",4.25,"USD","per_unit",true,18,"vegetarian; gluten optional","dairy; gluten (granola)",0,NULL,false,false,0.00,false,NULL,120,"Yogurt Type",1,1,"Vanilla|Plain|Dairy-Free Coconut (+$1)","Vanilla:0|Plain:0|Dairy-Free Coconut:1","Toppings",1,2,"Granola|Chia Seeds|Extra Berries (+$0.75)","Granola:0|Chia Seeds:0|Extra Berries:0.75","Min order 12 cups; increments of 1.","Mon,Tue,Wed,Thu,Fri",NULL
"Spring Catering 2026","Desserts","Cookie Tray","DES-COOKIE-TRAY","Assorted cookies (choc chip, oatmeal, snickerdoodle).","Serves 12-15",1,"tray",28.00,"USD","per_item",true,18,"contains gluten; may contain nuts","gluten; eggs; dairy; nuts (may contain)",0,NULL,false,false,0.00,false,NULL,130,"Cookie Preference",0,2,"All Chocolate Chip|All Oatmeal|No Preference","All Chocolate Chip:0|All Oatmeal:0|No Preference:0",NULL,0,0,NULL,NULL,"All cookies baked in shared facility.","Mon,Tue,Wed,Thu,Fri,Sat",NULL
"Spring Catering 2026","Beverages","Fresh Brewed Iced Tea (Gallon)","BEV-TEA-GAL","Unsweetened or sweet tea.","1 gallon",1,"gallon",9.50,"USD","per_item",true,12,"vegan; gluten-free","none",0,NULL,false,false,0.00,false,NULL,140,"Sweetness",1,1,"Unsweet|Half & Half|Sweet","Unsweet:0|Half & Half:0|Sweet:0","Add Lemon",0,1,"Lemon Wedges (+$1)|No Lemon","Lemon Wedges:1|No Lemon:0","Ice not included unless requested.","Mon,Tue,Wed,Thu,Fri,Sat,Sun",NULL
"Spring Catering 2026","Beverages","Coffee Service","BEV-COFFEE","Includes coffee (96oz), cups, stirrers, sugar, cream.","Serves 10",1,"service",24.00,"USD","per_item",true,12,"vegetarian","dairy (cream)",0,NULL,true,false,0.00,false,NULL,150,"Coffee Type",1,1,"Regular|Decaf|Half Regular / Half Decaf (+$4)","Regular:0|Decaf:0|Half Regular / Half Decaf:4",NULL,0,0,NULL,NULL,"If pairing with Bagel Box, this is a common add-on.","Mon,Tue,Wed,Thu,Fri",NULL
